
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
        29  26 -4.231737E+05 -1.442132E+06 -7.930443E+04  1.845262E+05 -2.210943E+05  3.917554E+06
        29  27 -3.774787E+05 -1.371743E+06 -4.698161E+03  2.349341E+05 -3.209894E+05  3.713391E+06
        30   1 -2.072310E+06 -1.897947E+06  2.290588E+07 -8.590448E+04 -9.962372E+05  4.638918E+06
        30   2 -1.975444E+06 -1.978267E+06  2.410098E+07 -8.915902E+04 -4.918531E+05  4.761469E+06
        30   3 -1.838509E+06 -2.096999E+06  2.546805E+07 -1.038780E+05  6.161019E+04  5.636797E+06
        30   4 -6.953614E+05 -7.189747E+05  1.463344E+07 -8.801881E+04 -1.334828E+06  9.635092E+06
        30   5 -5.960211E+05 -7.341018E+05  1.587094E+07 -7.937735E+04 -8.596363E+05  1.012880E+07
        30   6 -5.479860E+05 -8.790142E+05  1.706722E+07 -8.220038E+04 -3.424922E+05  1.137685E+07
        30   7 -3.279950E+05 -6.518575E+05  3.664389E+06 -7.023781E+04 -1.382166E+06  1.428457E+07
        30   8 -3.005876E+05 -6.761979E+05  4.770691E+06 -4.970035E+04 -9.413901E+05  1.514752E+07
        30   9 -4.158598E+05 -9.216980E+05  5.622554E+06 -4.062739E+04 -4.657899E+05  1.676636E+07
        30  10 -3.867035E+05 -5.283524E+05  1.170133E+07  3.208754E+04 -4.282401E+05  8.454565E+05
        30  11 -1.995492E+05 -5.578618E+05  1.229586E+07 -6.059469E+04 -8.031121E+04  8.445621E+05
        30  12  3.232805E+04 -6.149234E+05  1.306703E+07 -1.789960E+05  3.166969E+05  1.474613E+06
        30  13  2.974611E+05  9.614700E+04  8.282867E+06  3.734137E+04 -6.528010E+05  4.091600E+06
        30  14  4.692203E+05  1.347964E+05  8.980826E+06 -5.079150E+04 -3.366666E+05  4.346926E+06
        30  15  5.943281E+05  5.451916E+04  9.642206E+06 -1.646435E+05  2.141983E+04  5.234748E+06
        30  16 -6.452893E+04 -4.068821E+05  2.152133E+06  5.865299E+04 -6.853174E+05  6.991045E+06
        30  17  1.742828E+04 -3.744809E+05  2.779898E+06 -2.493052E+04 -4.062019E+05  7.500672E+06
        30  18 -3.864033E+04 -5.523807E+05  3.157879E+06 -1.342332E+05 -9.226180E+04  8.644346E+06
        30  19 -1.215478E+06 -1.180834E+06 -8.641645E+05 -2.585700E+05 -3.547728E+05  1.073659E+06
        30  20 -9.852342E+05 -1.269663E+06 -9.173874E+05 -2.022197E+05 -1.632992E+05  9.996912E+05
        30  21 -7.056140E+05 -1.375185E+06 -7.893278E+05 -1.858432E+05  7.725378E+04  1.434836E+06
        30  22 -3.894870E+05 -7.531172E+05  9.290514E+05 -2.774139E+05 -4.149323E+05  2.569773E+06
        30  23 -1.925076E+05 -7.708218E+05  1.040263E+06 -2.238609E+05 -2.578555E+05  2.637083E+06
        30  24 -3.752594E+04 -8.965944E+05  1.119551E+06 -2.102816E+05 -5.882673E+04  3.215056E+06
        30  25 -6.462228E+05 -1.468602E+06 -5.680120E+03 -2.840375E+05 -3.822566E+05  3.719188E+06
        30  26 -5.569145E+05 -1.489590E+06  9.635049E+04 -2.332818E+05 -2.648012E+05  3.925857E+06
        30  27 -6.009784E+05 -1.710020E+06 -4.675021E+04 -2.224998E+05 -1.125211E+05  4.644740E+06
        31   1  4.158598E+05  9.216980E+05 -5.622554E+06  4.062739E+04 -4.657899E+05  1.676636E+07
        31   2  3.005876E+05  6.761979E+05 -4.770691E+06  4.970035E+04 -9.413901E+05  1.514752E+07
        31   3  3.279950E+05  6.518575E+05 -3.664389E+06  7.023781E+04 -1.382166E+06  1.428457E+07
        31   4  5.479860E+05  8.790142E+05 -1.706722E+07  8.220038E+04 -3.424922E+05  1.137685E+07
        31   5  5.960211E+05  7.341018E+05 -1.587094E+07  7.937735E+04 -8.596363E+05  1.012880E+07
        31   6  6.953614E+05  7.189747E+05 -1.463344E+07  8.801881E+04 -1.334828E+06  9.635092E+06
        31   7  1.838509E+06  2.096999E+06 -2.546805E+07  1.038780E+05  6.161019E+04  5.636797E+06
        31   8  1.975444E+06  1.978267E+06 -2.410098E+07  8.915902E+04 -4.918531E+05  4.761469E+06
        31   9  2.072310E+06  1.897947E+06 -2.290588E+07  8.590448E+04 -9.962372E+05  4.638918E+06
        31  10  3.864033E+04  5.523807E+05 -3.157879E+06  1.342332E+05 -9.226180E+04  8.644346E+06
        31  11 -1.742828E+04  3.744809E+05 -2.779898E+06  2.493052E+04 -4.062019E+05  7.500672E+06
        31  12  6.452893E+04  4.068821E+05 -2.152133E+06 -5.865299E+04 -6.853174E+05  6.991045E+06
        31  13 -5.943281E+05 -5.451916E+04 -9.642206E+06  1.646435E+05  2.141983E+04  5.234748E+06
        31  14 -4.692203E+05 -1.347964E+05 -8.980826E+06  5.079150E+04 -3.366666E+05  4.346926E+06
        31  15 -2.974611E+05 -9.614700E+04 -8.282867E+06 -3.734137E+04 -6.528010E+05  4.091600E+06
        31  16 -3.232805E+04  6.149234E+05 -1.306703E+07  1.789960E+05  3.166969E+05  1.474613E+06
        31  17  1.995492E+05  5.578618E+05 -1.229586E+07  6.059469E+04 -8.031121E+04  8.445621E+05
        31  18  3.867035E+05  5.283524E+05 -1.170133E+07 -3.208754E+04 -4.282401E+05  8.454565E+05
        31  19  6.009784E+05  1.710020E+06  4.675021E+04  2.224998E+05 -1.125211E+05  4.644740E+06
        31  20  5.569145E+05  1.489590E+06 -9.635049E+04  2.332818E+05 -2.648012E+05  3.925857E+06
        31  21  6.462228E+05  1.468602E+06  5.680120E+03  2.840375E+05 -3.822566E+05  3.719188E+06
        31  22  3.752594E+04  8.965944E+05 -1.119551E+06  2.102816E+05 -5.882673E+04  3.215056E+06
        31  23  1.925076E+05  7.708218E+05 -1.040263E+06  2.238609E+05 -2.578555E+05  2.637083E+06
        31  24  3.894870E+05  7.531172E+05 -9.290514E+05  2.774139E+05 -4.149323E+05  2.569773E+06
        31  25  7.056140E+05  1.375185E+06  7.893278E+05  1.858432E+05  7.725378E+04  1.434836E+06
        31  26  9.852342E+05  1.269663E+06  9.173874E+05  2.022197E+05 -1.632992E+05  9.996912E+05
        31  27  1.215478E+06  1.180834E+06  8.641645E+05  2.585700E+05 -3.547728E+05  1.073659E+06
        32   1  2.094532E+05  6.010059E+05 -3.030903E+06 -5.809536E+04 -1.320398E+06  1.427872E+07
        32   2  1.687352E+05  5.556401E+05 -2.062731E+06 -3.379171E+04 -8.813533E+05  1.516631E+07
        32   3  6.097377E+04  5.426571E+05 -1.350421E+06 -2.495854E+04 -4.115627E+05  1.687904E+07
        32   4  5.788090E+05  6.745689E+05 -1.398688E+07 -8.011907E+04 -1.533366E+06  9.629412E+06
        32   5  4.666177E+05  6.335584E+05 -1.312723E+07 -6.565488E+04 -1.058855E+06  1.014765E+07
        32   6  1.801503E+05  5.176981E+05 -1.277365E+07 -6.666118E+04 -5.604880E+05  1.148847E+07
        32   7  1.933758E+06  1.852830E+06 -2.224612E+07 -7.969896E+04 -2.187179E+06  4.633788E+06
        32   8  1.843292E+06  1.909374E+06 -2.127753E+07 -7.507423E+04 -1.671587E+06  4.782095E+06
        32   9  1.471317E+06  1.783834E+06 -2.106522E+07 -8.591999E+04 -1.139029E+06  5.750397E+06
        32  10 -1.199645E+04  4.019117E+05 -1.780080E+06  4.851327E+04 -6.371908E+05  6.986492E+06
        32  11  6.154303E+02  4.380445E+05 -1.248568E+06 -3.251099E+04 -3.677209E+05  7.511534E+06
        32  12 -6.154663E+04  4.885220E+05 -9.806466E+05 -1.427851E+05 -6.750515E+04  8.718749E+06
        32  13 -3.743395E+05 -9.455622E+04 -7.901707E+06  4.277629E+04 -7.676042E+05  4.087959E+06
        32  14 -4.519590E+05 -4.763746E+04 -7.428253E+06 -4.201085E+04 -4.872650E+05  4.361175E+06
        32  15 -7.115851E+05 -9.360660E+04 -7.468600E+06 -1.560479E+05 -1.830698E+05  5.313986E+06
        32  16  2.882167E+05  5.305197E+05 -1.130975E+07  5.829810E+04 -1.214598E+06  8.431141E+05
        32  17  2.135644E+05  6.814230E+05 -1.067690E+07 -3.025193E+04 -9.177749E+05  8.639103E+05
        32  18 -1.503273E+05  6.322057E+05 -1.080805E+07 -1.480519E+05 -6.039851E+05  1.561725E+06
        32  19  3.774787E+05  1.371743E+06  4.698161E+03 -2.349341E+05 -3.209894E+05  3.713391E+06
        32  20  4.231737E+05  1.442132E+06  7.930443E+04 -1.845262E+05 -2.210943E+05  3.917554E+06
        32  21  3.863641E+05  1.508827E+06 -1.174111E+05 -1.771475E+05 -9.045345E+04  4.660913E+06
        32  22  1.120972E+05  6.603845E+05 -9.274385E+05 -2.378823E+05 -3.271852E+05  2.565637E+06
        32  23  4.880272E+04  7.479899E+05 -8.604264E+05 -1.851606E+05 -2.410178E+05  2.635490E+06
        32  24 -2.042290E+05  7.246693E+05 -1.314946E+06 -1.754683E+05 -1.309943E+05  3.241960E+06
        32  25  9.109211E+05  1.087415E+06  8.708502E+05 -2.207567E+05 -5.256972E+05  1.071571E+06
        32  26  8.318356E+05  1.285436E+06  1.147731E+06 -1.657213E+05 -4.476423E+05  1.006519E+06
        32  27  4.557803E+05  1.265298E+06  6.528717E+05 -1.537153E+05 -3.526210E+05  1.475509E+06

                    E I G E N V A L U E    N U M B E R     4


 displacements (vx,vy,vz) for set NALL and time  0.1000000E+01

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  0.000000E+00  0.000000E+00  0.000000E+00
         3  0.000000E+00  0.000000E+00  0.000000E+00
         4  0.000000E+00  0.000000E+00  0.000000E+00
         5  7.601487E+03  7.179214E+02  2.424968E+03
         6  7.601736E+03  7.205571E+02 -2.005748E+03
         7  7.601487E+03  7.179214E+02 -2.424968E+03
         8  7.601736E+03  7.205571E+02  2.005748E+03
         9  0.000000E+00  0.000000E+00  0.000000E+00
        10  0.000000E+00  0.000000E+00  0.000000E+00
        11  0.000000E+00  0.000000E+00  0.000000E+00
        12  0.000000E+00  0.000000E+00  0.000000E+00
        13  0.000000E+00  0.000000E+00  0.000000E+00
        14  0.000000E+00  0.000000E+00  0.000000E+00
        15  0.000000E+00  0.000000E+00  0.000000E+00
        16  0.000000E+00  0.000000E+00  0.000000E+00
        17  0.000000E+00  0.000000E+00  0.000000E+00
        18  0.000000E+00  0.000000E+00  0.000000E+00
        19  0.000000E+00  0.000000E+00  0.000000E+00
        20  0.000000E+00  0.000000E+00  0.000000E+00
        21  7.600974E+03  7.187289E+02  1.315699E+03
        22  7.599206E+03  7.193136E+02  2.098981E+02
        23  7.601054E+03  7.197320E+02 -8.960483E+02
        24  7.601566E+03  7.196065E+02 -2.113004E+03
        25  7.602397E+03  7.190116E+02 -2.218405E+03
        26  7.601471E+03  7.187589E+02 -2.322272E+03
        27  7.600974E+03  7.187289E+02 -1.315699E+03
        28  7.599206E+03  7.193136E+02 -2.098981E+02
        29  7.601054E+03  7.197320E+02  8.960483E+02
        30  7.601566E+03  7.196065E+02  2.113004E+03
        31  7.602397E+03  7.190116E+02  2.218405E+03
        32  7.601471E+03  7.187589E+02  2.322272E+03
        33 -3.926006E+02  8.629517E+01  4.211926E+02
        34 -1.196461E+03 -4.554025E+01  7.375226E+02
        35 -2.273103E+03 -1.936996E+02  8.784283E+02
        36 -3.400605E+03 -3.476914E+02  8.750263E+02
        37 -4.425636E+03 -4.840353E+02  7.289424E+02
        38 -5.203476E+03 -5.910770E+02  4.796655E+02
        39 -5.621639E+03 -6.510043E+02  1.430874E+02
        40 -5.606021E+03 -6.618852E+02 -2.406424E+02
        41 -5.118418E+03 -6.139643E+02 -6.409967E+02
        42 -4.164424E+03 -5.146245E+02 -1.026216E+03
        43 -2.782711E+03 -3.643009E+02 -1.363036E+03
        44 -1.044959E+03 -1.761971E+02 -1.638852E+03
        45  9.582035E+02  3.968189E+01 -1.830636E+03
        46  3.126867E+03  2.700420E+02 -1.949979E+03
        47  5.365212E+03  4.985223E+02 -1.997134E+03
        48  5.366953E+03  5.169195E+02  2.414553E+03
        49  3.131796E+03  3.221319E+02  2.357542E+03
        50  9.679377E+02  1.425632E+02  2.213256E+03
        51 -1.030194E+03 -2.014703E+01  1.981387E+03
        52 -2.763424E+03 -1.604561E+02  1.647923E+03
        53 -4.141396E+03 -2.712447E+02  1.240704E+03
        54 -5.093658E+03 -3.522685E+02  7.749709E+02
        55 -5.580919E+03 -3.965860E+02  2.909389E+02
        56 -5.598897E+03 -4.106455E+02 -1.729940E+02
        57 -5.184622E+03 -3.918104E+02 -5.799200E+02
        58 -4.413168E+03 -3.522629E+02 -8.812980E+02
        59 -3.395653E+03 -2.953480E+02 -1.057915E+03
        60 -2.277184E+03 -2.368334E+02 -1.062028E+03
        61 -1.209381E+03 -1.820925E+02 -8.916716E+02
        62 -4.161709E+02 -1.628185E+02 -5.092257E+02
        63 -4.161709E+02 -1.628185E+02  5.092257E+02
        64 -1.209381E+03 -1.820925E+02  8.916716E+02
        65 -2.277184E+03 -2.368334E+02  1.062028E+03
        66 -3.395653E+03 -2.953480E+02  1.057915E+03
        67 -4.413168E+03 -3.522629E+02  8.812980E+02
        68 -5.184622E+03 -3.918104E+02  5.799200E+02
        69 -5.598897E+03 -4.106455E+02  1.729940E+02
        70 -5.580919E+03 -3.965860E+02 -2.909389E+02
        71 -5.093658E+03 -3.522685E+02 -7.749709E+02
        72 -4.141396E+03 -2.712447E+02 -1.240704E+03
        73 -2.763424E+03 -1.604561E+02 -1.647923E+03
        74 -1.030194E+03 -2.014703E+01 -1.981387E+03
        75  9.679377E+02  1.425632E+02 -2.213256E+03
        76  3.131796E+03  3.221319E+02 -2.357542E+03
        77  5.366953E+03  5.169195E+02 -2.414553E+03
        78 -3.926006E+02  8.629517E+01 -4.211926E+02
        79 -1.196461E+03 -4.554025E+01 -7.375226E+02
        80 -2.273103E+03 -1.936996E+02 -8.784283E+02
        81 -3.400605E+03 -3.476914E+02 -8.750263E+02
        82 -4.425636E+03 -4.840353E+02 -7.289424E+02
        83 -5.203476E+03 -5.910770E+02 -4.796655E+02
        84 -5.621639E+03 -6.510043E+02 -1.430874E+02
        85 -5.606021E+03 -6.618852E+02  2.406424E+02
        86 -5.118418E+03 -6.139643E+02  6.409967E+02
        87 -4.164424E+03 -5.146245E+02  1.026216E+03
        88 -2.782711E+03 -3.643009E+02  1.363036E+03
        89 -1.044959E+03 -1.761971E+02  1.638852E+03
        90  9.582035E+02  3.968189E+01  1.830636E+03
        91  3.126867E+03  2.700420E+02  1.949979E+03
        92  5.365212E+03  4.985223E+02  1.997134E+03
        93  0.000000E+00  0.000000E+00  0.000000E+00
        94  0.000000E+00  0.000000E+00  0.000000E+00
        95  0.000000E+00  0.000000E+00  0.000000E+00
        96  0.000000E+00  0.000000E+00  0.000000E+00
        97  0.000000E+00  0.000000E+00  0.000000E+00
        98  7.599769E+03  7.193096E+02  1.048327E+02
        99  7.602355E+03  7.190650E+02  1.107973E+03
       100  7.600944E+03  7.191761E+02  2.577906E-11
       101  7.602355E+03  7.190650E+02 -1.107973E+03
       102  7.599769E+03  7.193096E+02 -1.048327E+02
       103 -3.393970E+02 -4.348366E+01 -4.334881E+01
       104 -1.178487E+03 -1.507725E+02 -4.529853E+02
       105 -1.178610E+03 -1.174114E+02 -7.880634E+01
       106 -1.172165E+03 -8.321098E+01  2.961521E+02
       107 -2.259894E+03 -2.162806E+02 -9.287616E+01
       108 -3.408768E+03 -3.079228E+02 -5.525921E+02
       109 -3.411428E+03 -3.203117E+02 -9.234795E+01
       110 -3.411214E+03 -3.329570E+02  3.678323E+02
       111 -4.449986E+03 -4.149985E+02 -7.696137E+01
       112 -5.225829E+03 -4.384228E+02 -3.012074E+02
       113 -5.242248E+03 -4.867646E+02 -5.070499E+01
       114 -5.235251E+03 -5.374184E+02  1.997749E+02
       115 -5.667258E+03 -5.251243E+02 -1.530424E+01
       116 -5.636530E+03 -4.586260E+02  1.607359E+02
       117 -5.657869E+03 -5.229804E+02  2.503365E+01
       118 -5.649068E+03 -5.903419E+02 -1.106596E+02
       119 -5.168664E+03 -4.769085E+02  6.710198E+01
       120 -4.192352E+03 -3.280760E+02  6.665037E+02
       121 -4.212305E+03 -3.871935E+02  1.075419E+02
       122 -4.203858E+03 -4.491096E+02 -4.513876E+02
       123 -2.822476E+03 -2.575470E+02  1.429044E+02
       124 -1.063090E+03 -5.647406E+01  1.063274E+03
       125 -1.076280E+03 -9.448210E+01  1.717861E+02
       126 -1.070472E+03 -1.343140E+02 -7.196376E+02
       127  9.367584E+02  9.355108E+01  1.918620E+02
       128  3.120421E+03  3.103194E+02  1.269802E+03
       129  3.115036E+03  2.973397E+02  2.042238E+02
       130  3.117948E+03  2.836708E+02 -8.613191E+02
       131  5.359510E+03  5.081504E+02  2.090168E+02
       132 -4.595771E+02 -3.211262E+01  4.581519E+02
       133 -1.233285E+03 -7.779686E+01  7.933416E+02
       134 -1.240916E+03 -1.115162E+02  8.329011E+02
       135 -1.239677E+03 -1.446141E+02  8.642225E+02
       136 -2.285861E+03 -2.138236E+02  9.816045E+02
       137 -3.387901E+03 -3.355701E+02  9.328156E+02
       138 -3.385361E+03 -3.227780E+02  9.760219E+02
       139 -3.385532E+03 -3.097140E+02  1.019903E+03
       140 -4.386103E+03 -4.210429E+02  8.134018E+02
       141 -5.161497E+03 -5.446869E+02  5.123175E+02
       142 -5.144596E+03 -4.960041E+02  5.358991E+02
       143 -5.152130E+03 -4.451058E+02  5.597187E+02
       144 -5.550018E+03 -5.362172E+02  1.617500E+02
       145 -5.549482E+03 -6.001598E+02 -2.517881E+02
       146 -5.527359E+03 -5.353288E+02 -2.645797E+02
       147 -5.537019E+03 -4.676460E+02 -2.774667E+02
       148 -5.040427E+03 -4.890419E+02 -7.091982E+02
       149 -4.112748E+03 -4.580139E+02 -1.083891E+03
       150 -4.092233E+03 -3.985544E+02 -1.136607E+03
       151 -4.101296E+03 -3.364075E+02 -1.189663E+03
       152 -2.722004E+03 -2.670533E+02 -1.510351E+03
       153 -1.011899E+03 -1.399415E+02 -1.731596E+03
       154 -9.985776E+02 -1.018340E+02 -1.815601E+03
       155 -1.004534E+03 -6.192911E+01 -1.900289E+03
       156  9.887377E+02  8.863297E+01 -2.027782E+03
       157  3.137669E+03  2.820560E+02 -2.057798E+03
       158  3.142572E+03  2.947344E+02 -2.158434E+03
       159  3.140190E+03  3.081978E+02 -2.259437E+03
       160  5.370622E+03  5.070990E+02 -2.209090E+03
       161 -3.393970E+02 -4.348366E+01  4.334881E+01
       162 -1.178487E+03 -1.507725E+02  4.529853E+02
       163 -1.178610E+03 -1.174114E+02  7.880634E+01
       164 -1.172165E+03 -8.321098E+01 -2.961521E+02
       165 -2.259894E+03 -2.162806E+02  9.287616E+01
       166 -3.408768E+03 -3.079228E+02  5.525921E+02
       167 -3.411428E+03 -3.203117E+02  9.234795E+01
       168 -3.411214E+03 -3.329570E+02 -3.678323E+02
       169 -4.449986E+03 -4.149985E+02  7.696137E+01
       170 -5.225829E+03 -4.384228E+02  3.012074E+02
       171 -5.242248E+03 -4.867646E+02  5.070499E+01
       172 -5.235251E+03 -5.374184E+02 -1.997749E+02
       173 -5.667258E+03 -5.251243E+02  1.530424E+01
       174 -5.636530E+03 -4.586260E+02 -1.607359E+02
       175 -5.657869E+03 -5.229804E+02 -2.503365E+01
       176 -5.649068E+03 -5.903419E+02  1.106596E+02
       177 -5.168664E+03 -4.769085E+02 -6.710198E+01
       178 -4.192352E+03 -3.280760E+02 -6.665037E+02
       179 -4.212305E+03 -3.871935E+02 -1.075419E+02
       180 -4.203858E+03 -4.491096E+02  4.513876E+02
       181 -2.822476E+03 -2.575470E+02 -1.429044E+02
       182 -1.063090E+03 -5.647406E+01 -1.063274E+03
       183 -1.076280E+03 -9.448210E+01 -1.717861E+02
       184 -1.070472E+03 -1.343140E+02  7.196376E+02
       185  9.367584E+02  9.355108E+01 -1.918620E+02
       186  3.120421E+03  3.103194E+02 -1.269802E+03
       187  3.115036E+03  2.973397E+02 -2.042238E+02
       188  3.117948E+03  2.836708E+02  8.613191E+02
       189  5.359510E+03  5.081504E+02 -2.090168E+02
       190 -4.595771E+02 -3.211262E+01 -4.581519E+02
       191 -1.233285E+03 -7.779686E+01 -7.933416E+02
       192 -1.240916E+03 -1.115162E+02 -8.329011E+02
       193 -1.239677E+03 -1.446141E+02 -8.642225E+02
       194 -2.285861E+03 -2.138236E+02 -9.816045E+02
       195 -3.387901E+03 -3.355701E+02 -9.328156E+02
       196 -3.385361E+03 -3.227780E+02 -9.760219E+02
       197 -3.385532E+03 -3.097140E+02 -1.019903E+03
       198 -4.386103E+03 -4.210429E+02 -8.134018E+02
       199 -5.161497E+03 -5.446869E+02 -5.123175E+02
       200 -5.144596E+03 -4.960041E+02 -5.358991E+02
       201 -5.152130E+03 -4.451058E+02 -5.597187E+02
       202 -5.550018E+03 -5.362172E+02 -1.617500E+02
       203 -5.549482E+03 -6.001598E+02  2.517881E+02
       204 -5.527359E+03 -5.353288E+02  2.645797E+02
       205 -5.537019E+03 -4.676460E+02  2.774667E+02
       206 -5.040427E+03 -4.890419E+02  7.091982E+02
       207 -4.112748E+03 -4.580139E+02  1.083891E+03
       208 -4.092233E+03 -3.985544E+02  1.136607E+03
       209 -4.101296E+03 -3.364075E+02  1.189663E+03
       210 -2.722004E+03 -2.670533E+02  1.510351E+03
       211 -1.011899E+03 -1.399415E+02  1.731596E+03
       212 -9.985776E+02 -1.018340E+02  1.815601E+03
       213 -1.004534E+03 -6.192911E+01  1.900289E+03
       214  9.887377E+02  8.863297E+01  2.027782E+03
       215  3.137669E+03  2.820560E+02  2.057798E+03
       216  3.142572E+03  2.947344E+02  2.158434E+03
       217  3.140190E+03  3.081978E+02  2.259437E+03
       218  5.370622E+03  5.070990E+02  2.209090E+03
       219 -3.916989E+02 -3.706125E+01  2.944833E-12
       220 -1.209455E+03 -1.144966E+02 -3.662625E+01
       221 -1.210110E+03 -1.144346E+02 -3.871014E+02
       222 -1.211964E+03 -1.146720E+02  6.860145E-12
       223 -1.210110E+03 -1.144346E+02  3.871014E+02
       224 -1.209455E+03 -1.144966E+02  3.662625E+01
       225 -2.271331E+03 -2.149058E+02  8.193777E-12
       226 -3.400499E+03 -3.214739E+02 -4.442116E+01
       227 -3.397645E+03 -3.217440E+02 -4.694855E+02
